feeder,seed,policy,energy_required_kwh,unmet_kwh,service_rate_percent,charging_cost,peak_load_kw,voltage_violation_rate_percent,transformer_violation_slots,projection_calls,projection_runtime_ms_total,projection_runtime_ms_mean,training_rounds,clients_per_round,update_precision_bits,estimated_training_bytes,relative_bytes
nominal,20260613,fedavg_local_safe,4872.757998559619,798.0119516504461,83.6229923200303,811.8653728963669,187.0185094297116,0.0,0,672,1130.6068818084896,1.682450716976919,60.0,8.0,32.0,42240,0.6470588235294118
nominal,20260613,fedavg_graph_safe,4872.757998559619,787.2914135060672,83.84300197672879,817.3013883268093,189.58043115975323,0.0,0,672,1138.4479966945946,1.6941190427002897,60.0,8.0,32.0,65280,1.0
nominal,20260613,grid_fedgat_no_guard,4872.757998559619,812.2228007313807,83.33135359951238,806.2367988070038,189.31010795993194,0.0,0,672,1129.5883008278906,1.6809349714700754,1.0,8.0,32.0,5984,0.09166666666666666
nominal,20260613,grid_fedgat_pilot,4872.757998559619,674.4264802406948,86.15924533005632,809.9459604659108,191.58043595400045,0.0,0,672,1167.1695648692548,1.7368594715316292,1.0,8.0,32.0,5984,0.09166666666666666
nominal,20260614,uncontrolled,5031.452343741157,0.0,100.0,1129.5229120384013,257.2899496066232,3.3296130952380953,0,0,0.0,0.0,,,,0,0.0
nominal,20260614,edf_safe,5031.452343741157,441.22081561547964,91.23074640338523,920.177942547049,193.2595289409595,0.0,0,672,1290.7347925938666,1.9207362985027776,,,,0,0.0
nominal,20260614,fedavg_local_safe,5031.452343741157,765.4030771064295,84.7876313872167,843.501153253667,191.81334010198398,0.0,0,672,1136.2366015091538,1.6908282760552884,60.0,8.0,32.0,42240,0.6470588235294118
nominal,20260614,fedavg_graph_safe,5031.452343741157,723.0718794184502,85.62896297094196,854.9665214732009,195.11884702432098,0.0,0,672,1172.391495667398,1.744630201886009,60.0,8.0,32.0,65280,1.0
nominal,20260614,grid_fedgat_no_guard,5031.452343741157,769.3677429161548,84.7088337451272,848.3499877354079,191.86092408246063,0.0,0,672,1132.1034296415746,1.6846777226809146,1.0,8.0,32.0,5984,0.09166666666666666
nominal,20260614,grid_fedgat_pilot,5031.452343741157,623.8100478531346,87.60178959800506,848.4527782565726,198.72924755281576,0.0,0,672,1184.7889414057136,1.7630787818537403,1.0,8.0,32.0,5984,0.09166666666666666
nominal,20260615,uncontrolled,4821.160722030299,0.0,100.0,1140.8045154262243,267.39119569977794,4.092261904761905,0,0,0.0,0.0,,,,0,0.0
nominal,20260615,edf_safe,4821.160722030299,529.0467643137837,89.02656860418895,864.1985910263063,186.01707698919034,0.0,0,672,1313.2816054858267,1.9542881034015278,,,,0,0.0
nominal,20260615,fedavg_local_safe,4821.160722030299,854.7495112498808,82.27087706609527,793.1252361734926,186.82198771333924,0.0,0,672,1173.8556013442576,1.746808930571812,60.0,8.0,32.0,42240,0.6470588235294118
nominal,20260615,fedavg_graph_safe,4821.160722030299,857.2270410019702,82.21948840898686,798.9353765711575,196.83922825789602,0.0,0,672,1178.5335438326001,1.7537701545127977,60.0,8.0,32.0,65280,1.0
nominal,20260615,grid_fedgat_no_guard,4821.160722030299,867.0593377558914,82.01554796143047,792.9224647862741,186.46720127430655,0.0,0,672,1153.4962221048772,1.716512235275115,1.0,8.0,32.0,5984,0.09166666666666666
nominal,20260615,grid_fedgat_pilot,4821.160722030299,743.1133764920506,84.58642183206229,794.9749789333956,189.26084955463392,0.0,0,672,1210.3921473026276,1.80117879062891,1.0,8.0,32.0,5984,0.09166666666666666
stressed_long,20260611,uncontrolled,4500.191175906002,0.0,100.0,1114.3028659208337,247.29626389757996,9.840029761904763,0,0,0.0,0.0,,,,0,0.0
stressed_long,20260611,edf_safe,4500.191175906002,1214.746349830523,73.00678343768443,674.4308598317991,175.7001966630171,0.0,0,672,1502.5398368015885,2.23592237619284,,,,0,0.0
stressed_long,20260611,fedavg_local_safe,4500.191175906002,1379.8176446289722,69.33868827581131,639.4059201271937,177.39926679129837,0.0,0,672,1450.4381231963634,2.1583900642803027,60.0,8.0,32.0,42240,0.6470588235294118
stressed_long,20260611,fedavg_graph_safe,4500.191175906002,1356.0262826108037,69.86736274958804,643.0344659571193,177.12477745119983,0.0,0,672,1459.4759377650917,2.171839193102815,60.0,8.0,32.0,65280,1.0
stressed_long,20260611,grid_fedgat_no_guard,4500.191175906002,1387.3871322274065,69.17048458617782,640.1698483931086,171.98233827382944,0.0,0,672,1405.616698320955,2.0916915153585642,1.0,8.0,32.0,5984,0.09166666666666666
stressed_long,20260611,grid_fedgat_pilot,4500.191175906002,1300.4958014483545,71.10132101917799,652.8621429785709,176.31663660567833,0.0,0,672,1443.2204090990126,2.147649418302102,1.0,8.0,32.0,5984,0.09166666666666666
stressed_long,20260612,uncontrolled,4333.6385104469155,0.0,100.0,1025.2438854115308,238.66256160080303,10.193452380952381,0,0,0.0,0.0,,,,0,0.0
stressed_long,20260612,edf_safe,4333.6385104469155,1321.1855383430438,69.51325000555264,609.4964682964894,174.72792874141334,0.0,0,672,1529.9850883893669,2.276763524388939,,,,0,0.0
stressed_long,20260612,fedavg_local_safe,4333.6385104469155,1519.233297434328,64.94323894870378,580.39120582692,183.80144856982076,0.0,0,672,1441.0726614296436,2.144453365222684,60.0,8.0,32.0,42240,0.6470588235294118
stressed_long,20260612,fedavg_graph_safe,4333.6385104469155,1507.994193943428,65.20258461087211,583.307335643487,183.29265274783518,0.0,0,672,1466.1342613399029,2.1817474127081886,60.0,8.0,32.0,65280,1.0
stressed_long,20260612,grid_fedgat_no_guard,4333.6385104469155,1487.486822844104,65.67579830993554,574.9825794322021,169.96272714977948,0.0,0,672,1415.3912849724293,2.106237031208972,1.0,8.0,32.0,5984,0.09166666666666666
stressed_long,20260612,grid_fedgat_pilot,4333.6385104469155,1414.452338458033,67.36109080053,585.8327408401839,180.54449025883062,0.0,0,672,1443.0205808021128,2.1473520547650486,1.0,8.0,32.0,5984,0.09166666666666666
stressed_long,20260613,uncontrolled,4872.757998559619,0.0,100.0,1092.8378198531739,260.0562283225444,9.35639880952381,0,0,0.0,0.0,,,,0,0.0
stressed_long,20260613,edf_safe,4872.757998559619,1508.5102678649769,69.04196210214235,676.3533212869054,174.73487643658376,0.0,0,672,1442.7720420062542,2.1469822053664496,,,,0,0.0
stressed_long,20260613,fedavg_local_safe,4872.757998559619,1673.3392266640592,65.65929957616004,647.9545660177449,176.43911187144278,0.0,0,672,1371.9866392202675,2.0416467845539694,60.0,8.0,32.0,42240,0.6470588235294118
stressed_long,20260613,fedavg_graph_safe,4872.757998559619,1691.9441318421289,65.27748489988082,646.1913940457059,179.17195368230588,0.0,0,672,1376.2026983313262,2.047920682040664,60.0,8.0,32.0,65280,1.0
stressed_long,20260613,grid_fedgat_no_guard,4872.757998559619,1709.2494340133426,64.92234101265456,642.6192518949244,177.78319447260762,0.0,0,672,1356.2019118107855,2.018157606861288,1.0,8.0,32.0,5984,0.09166666666666666
stressed_long,20260613,grid_fedgat_pilot,4872.757998559619,1624.956503178054,66.65222234187725,644.3728800457185,177.8359948371929,0.0,0,672,1368.538101669401,2.0365150322461325,1.0,8.0,32.0,5984,0.09166666666666666
stressed_long,20260614,uncontrolled,5031.452343741157,0.0,100.0,1129.5229120384013,257.2899496066232,9.505208333333334,0,0,0.0,0.0,,,,0,0.0
stressed_long,20260614,edf_safe,5031.452343741157,1529.1683839815128,69.60781342024013,700.9681590630113,176.76868896663092,0.0,0,672,1480.1303315907717,2.2025748982005533,,,,0,0.0
stressed_long,20260614,fedavg_local_safe,5031.452343741157,1733.7993611029904,65.54077744053883,664.6966327572563,173.49817889276366,0.0,0,672,1469.3381870165467,2.1865151592508134,60.0,8.0,32.0,42240,0.6470588235294118
stressed_long,20260614,fedavg_graph_safe,5031.452343741157,1733.959346994174,65.53759772461878,663.2365409271731,179.74742906833808,0.0,0,672,1476.2890855781734,2.1968587583008534,60.0,8.0,32.0,65280,1.0
stressed_long,20260614,grid_fedgat_no_guard,5031.452343741157,1721.4455108025866,65.78630993208219,673.2600255884113,175.9363787167862,0.0,0,672,1429.974865168333,2.1279387874528766,1.0,8.0,32.0,5984,0.09166666666666666
stressed_long,20260614,grid_fedgat_pilot,5031.452343741157,1646.4985394504617,67.27587926975771,681.5730832610587,175.78235438251238,0.0,0,672,1460.2101049385965,2.172931703777673,1.0,8.0,32.0,5984,0.09166666666666666
stressed_long,20260615,uncontrolled,4821.160722030299,0.0,100.0,1140.8045154262243,267.39119569977794,11.179315476190476,0,0,0.0,0.0,,,,0,0.0
stressed_long,20260615,edf_safe,4821.160722030299,1634.094823369422,66.10577996492786,645.5296096075705,176.11243743011576,0.0,0,672,1519.7547995485365,2.2615398802805604,,,,0,0.0
stressed_long,20260615,fedavg_local_safe,4821.160722030299,1790.9075214939862,62.85318775392754,621.5134392035017,173.32012846381807,0.0,0,672,1493.2681573554873,2.2221252341599516,60.0,8.0,32.0,42240,0.6470588235294118
stressed_long,20260615,fedavg_graph_safe,4821.160722030299,1828.4134052448687,62.075244724990576,613.3493028084092,184.8139136592047,0.0,0,672,1512.7612040378153,2.251132744103892,60.0,8.0,32.0,65280,1.0
stressed_long,20260615,grid_fedgat_no_guard,4821.160722030299,1814.3314821573463,62.36733046739644,616.3618544638666,177.9478143701656,0.0,0,672,1447.111724410206,2.153440066086616,1.0,8.0,32.0,5984,0.09166666666666666
stressed_long,20260615,grid_fedgat_pilot,4821.160722030299,1732.7202625563154,64.06010165480176,623.5510414028663,173.49291818090478,0.0,0,672,1473.702551331371,2.1930097490050167,1.0,8.0,32.0,5984,0.09166666666666666
